,Word,wcount,,
754,cum,3,,
8,1670s,3,,
1091,fall,3,,
613,companion,3,,
2910,teaching,3,,
3074,tutor,3,,
960,ear,3,,
2908,tea,3,,
710,craftsman,3,,
636,concrete,2,,
1587,ki,2,,
240,balustrade,2,,
2950,theerthams,2,,
1590,kilo,2,,
635,conch,2,,
634,concert,2,,
1136,finger,2,,
2954,therapy,2,,
1620,labourer,2,,
1949,mustard,2,,
602,combat,2,,
606,commemoration,2,,
607,commode,2,,
2322,protection,2,,
2966,tier,2,,
614,company,2,,
251,baoli,2,,
3140,viewing,2,,
2484,riverbank,2,,
2473,rim,2,,
239,ballroom,2,,
1959,native,2,,
246,bangle,2,,
1607,kothi,2,,
1963,nave,2,,
628,comprises,2,,
630,computer,2,,
249,banquet,2,,
1988,noose,2,,
2308,progress,2,,
185,ashlar,2,,
202,atrium,2,,
1526,invertebrate,2,,
2290,printing,2,,
2008,occupation,2,,
698,courage,2,,
1520,intervention,2,,
1518,intersection,2,,
192,assistance,2,,
2913,technique,2,,
3166,ware,2,,
189,assassination,2,,
2534,salt,2,,
2911,teak,2,,
1507,instance,2,,
714,creation,2,,
2495,root,2,,
716,creator,2,,
717,creature,2,,
1501,insect,2,,
719,creek,2,,
720,creeper,2,,
722,crematorium,2,,
2906,tax,2,,
2905,taste,2,,
1491,infrastructure,2,,
2901,tamarind,2,,
2283,press,2,,
1487,infantry,2,,
732,crocodile,2,,
2282,preserver,2,,
2525,safety,2,,
692,cotton,2,,
691,cottage,2,,
2919,temperature,2,,
229,baba,2,,
2497,rosary,2,,
2499,rosewood,2,,
2501,round,2,,
659,contact,2,,
660,contemporary,2,,
226,axis,2,,
1566,jurisdiction,2,,
665,contrast,2,,
1564,junction,2,,
2301,product,2,,
1562,jug,2,,
2508,rubble,2,,
1560,jubilee,2,,
1559,journey,2,,
1558,journal,2,,
1557,jharokhas,2,,
670,convention,2,,
2929,tent,2,,
1987,noon,2,,
3151,violence,2,,
677,copy,2,,
223,awareness,2,,
2293,problem,2,,
1539,jaggery,2,,
216,author,2,,
214,auditorium,2,,
3157,voice,2,,
3158,volume,2,,
2464,revolutionary,2,,
1134,finding,2,,
1633,landscape,2,,
3053,trinity,2,,
439,canvas,2,,
427,campaign,2,,
423,calligraphy,2,,
2349,quartz,2,,
2396,recreation,2,,
421,calculation,2,,
3103,valour,2,,
3035,traveler,2,,
1784,marauder,2,,
3057,troop,2,,
1882,mix,2,,
1878,miracle,2,,
1795,martyr,2,,
406,bush,2,,
3046,trekking,2,,
3045,trek,2,,
448,card,2,,
1758,mammal,2,,
1895,money,2,,
2407,regime,2,,
3043,treaty,2,,
1752,making,2,,
2412,reincarnation,2,,
3040,treasury,2,,
456,carriage,2,,
1744,maiden,2,,
303,begum,2,,
1742,maharaja,2,,
1740,mahamandapa,2,,
457,cart,2,,
300,bee,2,,
328,birdwatching,2,,
